"screenName";"month";"srednio_retweetow";"suma_retweetow";"srednio_like";"suma_like";"liczba_tweetow"
"korwinmikke";"2014-01";0,392857142857143;11;0,678571428571429;19;28
"korwinmikke";"2014-02";1,86111111111111;134;2,65277777777778;191;72
"JkmMikke";"2014-11";1,36363636363636;15;2,27272727272727;25;11
"JkmMikke";"2014-12";4,2;42;13,1;131;10
"JkmMikke";"2015-01";9,5625;153;33,125;530;16
"JkmMikke";"2015-02";8,125;65;22,875;183;8
"JkmMikke";"2015-03";13;65;44,4;222;5
"JkmMikke";"2015-04";13,2307692307692;172;37,0769230769231;482;13
"JkmMikke";"2015-05";15,8571428571429;111;63;441;7
"ogorekmagda";"2014-12";0,294117647058824;5;2,23529411764706;38;17
"ogorekmagda";"2015-01";11;165;26,6;399;15
"ogorekmagda";"2015-02";17,0416666666667;409;37,625;903;24
"ogorekmagda";"2015-03";10,3;412;20,925;837;40
"ogorekmagda";"2015-04";11,2666666666667;338;20,0666666666667;602;30
"ogorekmagda";"2015-05";9,2;92;19,1;191;10
"AnnaGrodzka";"2015-01";1,8;9;5,2;26;5
"AnnaGrodzka";"2015-02";3,4;68;11,05;221;20
"AnnaGrodzka";"2015-03";2,52;126;7,58;379;50
"AnnaGrodzka";"2015-04";2,63157894736842;50;4,42105263157895;84;19
"AnnaGrodzka";"2015-05";2;4;4;8;2
"M_Kowalski1";"2015-01";7;28;8,75;35;4
"M_Kowalski1";"2015-02";5,88571428571429;206;6,25714285714286;219;35
"M_Kowalski1";"2015-03";2,79166666666667;134;5,10416666666667;245;48
"M_Kowalski1";"2015-04";2;74;2,72972972972973;101;37
"M_Kowalski1";"2015-05";9,26666666666667;139;22,8666666666667;343;15
"JarubasAdam";"2015-02";3,54166666666667;170;6,375;306;48
"JarubasAdam";"2015-03";3,17910447761194;213;3,85074626865672;258;67
"JarubasAdam";"2015-04";2,24210526315789;213;2,83157894736842;269;95
"JarubasAdam";"2015-05";2,23076923076923;58;3,73076923076923;97;26
"AndrzejDuda";"2015-02";30,4074074074074;821;58,9259259259259;1591;27
"AndrzejDuda";"2015-03";12,4803149606299;1585;24,9370078740157;3167;127
"AndrzejDuda";"2015-04";7,203125;922;18,484375;2366;128
"AndrzejDuda";"2015-05";7,3030303030303;241;15,0606060606061;497;33
"WandaNowicka";"2015-02";0,875;21;1,08333333333333;26;24
"WandaNowicka";"2015-03";0,790123456790123;64;2,80246913580247;227;81
"WandaNowicka";"2015-04";0,696428571428571;39;1,51785714285714;85;56
"WandaNowicka";"2015-05";1,04545454545455;23;2,45454545454545;54;22
"Komorowski";"2015-03";7,13095238095238;1198;10,3988095238095;1747;168
"Komorowski";"2015-04";4,40068493150685;1285;6,04794520547945;1766;292
"Komorowski";"2015-05";4,60810810810811;682;6,7972972972973;1006;148
"Palikot_Janusz";"2015-03";2,10545454545455;579;8,39272727272727;2308;275
"Palikot_Janusz";"2015-04";3,71780821917808;1357;9,98904109589041;3646;365
"Palikot_Janusz";"2015-05";5,31460674157303;473;17,5280898876404;1560;89
"PrezydentKukiz";"2015-03";3,88031914893617;1459;7,70478723404255;2897;376
"PrezydentKukiz";"2015-04";2,3175355450237;1467;7,16113744075829;4533;633
"PrezydentKukiz";"2015-05";15,9302325581395;685;37,3720930232558;1607;43
